NumeroArticulo,DescripcionArticulo,EnStock,UnidadMedida,GrupoArticulos,UltimaFechaCompra,UltimoPrecioCompra,UltimaMonedaCompra
RP2524,TORNILLO 6114406889, 28.000 ,UNIDAD,REPUESTOS,09/08/2019, 61.550 ,COR
RP2525,TUBO DE PROTECCION DNK6124714501, 1.000 ,UNIDAD,REPUESTOS,09/08/2019," 15,853.370 ",COR
RP2526,ANILLO DE SELLADO EST 54292107, 4.000 ,UNIDAD,REPUESTOS,23/09/2019," 27,612.450 ",COR
RP2527,CAMISA DE DESGASTE PARA TIV 55910280, 1.000 ,UNIDAD,REPUESTOS,09/08/2019," 101,373.250 ",COR
RP2528,ORING 22340420, 31.000 ,UNIDAD,REPUESTOS,31/01/2021, 34.550 ,COR
RP2529,HOJA 1 MAZO RESORTE 44000, 2.000 ,UNIDAD,REPUESTOS,14/08/2019," 1,960.000 ",COR
RP2530,HOJA 2 MAZO RESORTE 44000, 2.000 ,UNIDAD,REPUESTOS,14/08/2019," 2,240.000 ",COR
RP2532,VALVULA GLOBO AF 300 2 1/2, 2.000 ,UNIDAD,REPUESTOS,14/08/2019, 563.710 ,USD
RP255,SELLO MECANICO DE 1 1/4 Pulgadas, 37.000 ,UNIDAD,REPUESTOS,07/02/2026," 1,632.000 ",COR
RP2554,GASKET FRONTAL, 1.000 ,UNIDAD,REPUESTOS,15/05/2020, 30.730 ,USD
RP2555,SEAL OIL, 1.000 ,UNIDAD,REPUESTOS,15/05/2020, 33.150 ,USD
RP2557,FRONT RETAINER SEAL, 1.000 ,UNIDAD,REPUESTOS,15/05/2020, 16.320 ,USD
RP2569,POLEA SET DE 2 PIEZAS 135 NX3, 1.000 ,UNIDAD,REPUESTOS,20/08/2019," 24,821.850 ",COR
RP257,PERNOS CON TUERCA 2 1/2* 5/8, 171.000 ,UNIDAD,REPUESTOS,12/03/2021, 22.927 ,COR
RP2570,RODAMIENTO 29320 SKF, 19.000 ,UNIDAD,REPUESTOS,26/08/2025," 26,487.130 ",COR
RP2578,CONECTOR MACHO LATON 1/2 BSP X 3/8 OD, 8.000 ,UNIDAD,REPUESTOS,19/12/2020, 230.670 ,COR
RP2582,CONDENSADOR DE AGUA (CONDENSATE COOLER) SC316, 1.000 ,UNIDAD,REPUESTOS,23/08/2019," 1,264.730 ",USD
RP2587,TUERCA RUEDA 01A90942-01109, 3.000 ,UNIDAD,REPUESTOS,28/08/2019, 5.360 ,USD
RP2592,JUNTA EXPANSION 3 Pulgadas A 150, 6.000 ,UNIDAD,REPUESTOS,31/08/2019, 41.400 ,USD
RP2593,FILTRO Y AL 1 Pulgadas, 1.000 ,UNIDAD,REPUESTOS,13/10/2021, 22.800 ,USD
RP2595,ZEOLITA, 34.000 ,UNIDAD,REPUESTOS,01/09/2020," 1,085.430 ",COR
RP2596,CARBON ACTIVADO, 34.000 ,UNIDAD,REPUESTOS,31/08/2019," 2,265.710 ",COR
RP2600,FILTRO COMBUSTIBLE RE522878, 2.000 ,UNIDAD,REPUESTOS,06/09/2019," 1,263.470 ",COR
